datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url,commissie
2015-03-11,28676,,221,https://zoek.officielebekendmakingen.nl/kst-28676-221,"vaste commissie voor Defensie"
2015-03-11,31839,,463,https://zoek.officielebekendmakingen.nl/kst-31839-463,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-03-12,31322,,273,https://zoek.officielebekendmakingen.nl/kst-31322-273,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-03-12,29452,,189,https://zoek.officielebekendmakingen.nl/kst-29452-189,"vaste commissie voor Veiligheid en Justitie"
2015-03-12,21501,02,1466,https://zoek.officielebekendmakingen.nl/kst-21501-02-1466,"vaste commissie voor Europese Zaken"
2015-03-12,21501,02,1467,https://zoek.officielebekendmakingen.nl/kst-21501-02-1467,"vaste commissie voor Buitenlandse Zaken"
2015-03-13,30079,,57,https://zoek.officielebekendmakingen.nl/kst-30079-57,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-03-13,32824,,89,https://zoek.officielebekendmakingen.nl/kst-32824-89,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-03-13,30196,,299,https://zoek.officielebekendmakingen.nl/kst-30196-299,"vaste commissie voor Infrastructuur en Milieu"
2015-03-13,32043,,256,https://zoek.officielebekendmakingen.nl/kst-32043-256,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-03-16,32013,,97,https://zoek.officielebekendmakingen.nl/kst-32013-97,"vaste commissie voor Financiën"
2015-03-16,19637,,1955,https://zoek.officielebekendmakingen.nl/kst-19637-1955,"vaste commissie voor Veiligheid en Justitie"
2015-03-16,29911,,99,https://zoek.officielebekendmakingen.nl/kst-29911-99,"vaste commissie voor Veiligheid en Justitie"
2015-03-16,31332,,50,https://zoek.officielebekendmakingen.nl/kst-31332-50,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-03-19,30111,,84,https://zoek.officielebekendmakingen.nl/kst-30111-84,"vaste commissie voor Binnenlandse Zaken"
2015-03-19,19637,,1956,https://zoek.officielebekendmakingen.nl/kst-19637-1956,"vaste commissie voor Veiligheid en Justitie"
2015-03-19,29338,,144,https://zoek.officielebekendmakingen.nl/kst-29338-144,"vaste commissie voor Onderwijs, Cultuur en Wetenschap"
2015-03-24,32805,,36,https://zoek.officielebekendmakingen.nl/kst-32805-36,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-03-24,32847,,164,https://zoek.officielebekendmakingen.nl/kst-32847-164,"algemene commissie voor Wonen en Rijksdienst"
2015-03-24,29282,,219,https://zoek.officielebekendmakingen.nl/kst-29282-219,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-03-24,21501,28,124,https://zoek.officielebekendmakingen.nl/kst-21501-28-124,"vaste commissie voor Defensie"
2015-03-24,32620,,152,https://zoek.officielebekendmakingen.nl/kst-32620-152,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-03-26,29628,,512,https://zoek.officielebekendmakingen.nl/kst-29628-512,"vaste commissie voor Veiligheid en Justitie"
2015-03-26,31765,,125,https://zoek.officielebekendmakingen.nl/kst-31765-125,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
2015-03-26,29544,,592,https://zoek.officielebekendmakingen.nl/kst-29544-592,"vaste commissie voor Sociale Zaken en Werkgelegenheid"
2015-03-26,31209,,169,https://zoek.officielebekendmakingen.nl/kst-31209-169,"vaste commissie voor Infrastructuur en Milieu"
2015-03-26,25657,,147,https://zoek.officielebekendmakingen.nl/kst-25657-147,"vaste commissie voor Volksgezondheid, Welzijn en Sport"
