datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk volgnummer,url
2013-03-12,22112,,1581,https://zoek.officielebekendmakingen.nl/kst-22112-1581,vaste commissie voor Europese Zaken
2013-03-12,29817,,125,https://zoek.officielebekendmakingen.nl/kst-29817-125,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-03-14,22112,,1582,https://zoek.officielebekendmakingen.nl/kst-22112-1582,vaste commissie voor Koninkrijksrelaties
2013-03-14,31490,,113,https://zoek.officielebekendmakingen.nl/kst-31490-113,algemene commissie voor Wonen en Rijksdienst
2013-03-14,21501,07,1017,https://zoek.officielebekendmakingen.nl/kst-21501-07-1017,vaste commissie voor Financiën
2013-03-14,32043,,160,https://zoek.officielebekendmakingen.nl/kst-32043-160,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-03-14,32733,,119,https://zoek.officielebekendmakingen.nl/kst-32733-119,vaste commissie voor Defensie
2013-03-14,29279,,158,https://zoek.officielebekendmakingen.nl/kst-29279-158,vaste commissie voor Veiligheid en Justitie
2013-03-20,21501,02,1238,https://zoek.officielebekendmakingen.nl/kst-21501-02-1238,vaste commissie voor Buitenlandse Zaken
2013-03-20,31532,,98,https://zoek.officielebekendmakingen.nl/kst-31532-98,vaste commissie voor Economische Zaken
2013-03-20,33529,,18,https://zoek.officielebekendmakingen.nl/kst-33529-18,vaste commissie voor Economische Zaken
2013-03-27,28844,,73,https://zoek.officielebekendmakingen.nl/kst-28844-73,vaste commissie voor Binnenlandse Zaken
2013-03-27,33400,IV,25,https://zoek.officielebekendmakingen.nl/kst-33400-IV-25,vaste commissie voor Koninkrijksrelaties
2013-03-28,33529,,19,https://zoek.officielebekendmakingen.nl/kst-33529-19,vaste commissie voor Economische Zaken
2013-03-28,26448,,489,https://zoek.officielebekendmakingen.nl/kst-26448-489,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-03-28,21501,32,700,https://zoek.officielebekendmakingen.nl/kst-21501-32-700,vaste commissie voor Economische Zaken
2013-03-28,21501,30,305,https://zoek.officielebekendmakingen.nl/kst-21501-30-305,vaste commissie voor Economische Zaken
2013-04-02,21501,33,413,https://zoek.officielebekendmakingen.nl/kst-21501-33-413,vaste commissie voor Economische Zaken
2013-04-02,30111,,60,https://zoek.officielebekendmakingen.nl/kst-30111-60,vaste commissie voor Binnenlandse Zaken
2013-04-02,24095,,339,https://zoek.officielebekendmakingen.nl/kst-24095-339,vaste commissie voor Economische Zaken
2013-04-02,22054,,216,https://zoek.officielebekendmakingen.nl/kst-22054-216,algemene commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking
2013-04-03,21501,07,1027,https://zoek.officielebekendmakingen.nl/kst-21501-07-1027,vaste commissie voor Financiën
2013-04-03,24724,,112,https://zoek.officielebekendmakingen.nl/kst-24724-112,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-04-03,31125,,18,https://zoek.officielebekendmakingen.nl/kst-31125-18,vaste commissie voor Defensie
2013-04-03,21501,31,308,https://zoek.officielebekendmakingen.nl/kst-21501-31-308,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-04-04,33522,,4,https://zoek.officielebekendmakingen.nl/kst-33522-4,vaste commissie voor Volksgezondheid, Welzijn en Sport
2013-04-04,32824,,21,https://zoek.officielebekendmakingen.nl/kst-32824-21,vaste commissie voor Sociale Zaken en Werkgelegenheid
2013-04-04,19637,,1643,https://zoek.officielebekendmakingen.nl/kst-19637-1643,vaste commissie voor Veiligheid en Justitie
2013-04-04,23645,,539,https://zoek.officielebekendmakingen.nl/kst-23645-539,vaste commissie voor Infrastructuur en Milieu
2013-04-04,32463,,19,https://zoek.officielebekendmakingen.nl/kst-32463-19,vaste commissie voor Onderwijs, Cultuur en Wetenschap
2013-04-04,24724,,113,https://zoek.officielebekendmakingen.nl/kst-24724-113,vaste commissie voor Onderwijs, Cultuur en Wetenschap
