datum gepubliceerd,dossier nr,dossier toevoeging,kamerstuk ondernummer,url
2010-03-05,28684,,268,https://zoek.officielebekendmakingen.nl/kst-28684-268
2010-03-05,27428,,160,https://zoek.officielebekendmakingen.nl/kst-27428-160
2010-03-05,30995,,78,https://zoek.officielebekendmakingen.nl/kst-30995-78
2010-03-05,31123,,5,https://zoek.officielebekendmakingen.nl/kst-31123-5
2010-03-05,19637,,1331,https://zoek.officielebekendmakingen.nl/kst-19637-1331
2010-03-05,32123,VIII,117,https://zoek.officielebekendmakingen.nl/kst-32123-VIII-117
2010-03-05,26448,,426,https://zoek.officielebekendmakingen.nl/kst-26448-426
2010-03-08,27859,,33,https://zoek.officielebekendmakingen.nl/kst-27859-33
2010-03-08,23645,,350,https://zoek.officielebekendmakingen.nl/kst-23645-350
2010-03-08,31409,,27,https://zoek.officielebekendmakingen.nl/kst-31409-27
2010-03-08,29453,,155,https://zoek.officielebekendmakingen.nl/kst-29453-155
2010-03-08,23645,,351,https://zoek.officielebekendmakingen.nl/kst-23645-351
2010-03-08,29279,,104,https://zoek.officielebekendmakingen.nl/kst-29279-104
2010-03-09,32293,,4,https://zoek.officielebekendmakingen.nl/kst-32293-4
2010-03-09,31497,,24,https://zoek.officielebekendmakingen.nl/kst-31497-24
2010-03-09,31524,,48,https://zoek.officielebekendmakingen.nl/kst-31524-48
2010-03-09,26485,,88,https://zoek.officielebekendmakingen.nl/kst-26485-88
2010-03-09,30388,,36,https://zoek.officielebekendmakingen.nl/kst-30388-36
2010-03-09,29521,,134,https://zoek.officielebekendmakingen.nl/kst-29521-134
2010-03-09,25883,,165,https://zoek.officielebekendmakingen.nl/kst-25883-165
2010-03-09,27562,,45,https://zoek.officielebekendmakingen.nl/kst-27562-45
2010-03-09,21501,02,947,https://zoek.officielebekendmakingen.nl/kst-21501-02-947
2010-03-09,25834,,52,https://zoek.officielebekendmakingen.nl/kst-25834-52
2010-03-09,29754,,185,https://zoek.officielebekendmakingen.nl/kst-29754-185
2010-03-09,31412,,20,https://zoek.officielebekendmakingen.nl/kst-31412-20
2010-03-09,31311,,46,https://zoek.officielebekendmakingen.nl/kst-31311-46
2010-03-09,30597,,136,https://zoek.officielebekendmakingen.nl/kst-30597-136
2010-03-09,21501,07,701,https://zoek.officielebekendmakingen.nl/kst-21501-07-701
2010-03-09,21501,02,948,https://zoek.officielebekendmakingen.nl/kst-21501-02-948
2010-03-09,30196,,100,https://zoek.officielebekendmakingen.nl/kst-30196-100
2010-03-09,29544,,233,https://zoek.officielebekendmakingen.nl/kst-29544-233
2010-03-09,29818,,33,https://zoek.officielebekendmakingen.nl/kst-29818-33
2010-03-09,30139,,71,https://zoek.officielebekendmakingen.nl/kst-30139-71
2010-03-09,29911,,39,https://zoek.officielebekendmakingen.nl/kst-29911-39
2010-03-10,22343,,243,https://zoek.officielebekendmakingen.nl/kst-22343-243
2010-03-10,29684,,84,https://zoek.officielebekendmakingen.nl/kst-29684-84
2010-03-10,32050,,7,https://zoek.officielebekendmakingen.nl/kst-32050-7
2010-03-11,29664,,97,https://zoek.officielebekendmakingen.nl/kst-29664-97
2010-03-11,29659,,46,https://zoek.officielebekendmakingen.nl/kst-29659-46
2010-03-11,32123,XIV,177,https://zoek.officielebekendmakingen.nl/kst-32123-XIV-177
2010-03-11,29544,,234,https://zoek.officielebekendmakingen.nl/kst-29544-234
2010-03-11,21501,20,469,https://zoek.officielebekendmakingen.nl/kst-21501-20-469
